2906873	2917508	62.8
2906857	2922730	29.7
2922730	2926301	40.3
2926301	2910800	115.3
2910800	2930501	68.8
2910800	2905701	97.5
2905701	2927408	51.7
2910800	2900702	794
2910800	2918001	251.2
2926301	2924058	35.8
2926301	2933000	59.3
2910800	2927408	116.0
2926301	2918001	299.0
2900702	2918001	343.0
2906873	2922730	53.4
2906873	2929370	15.8
2906873	2933000	73.1
2922730	2933000	43.2
2924058	2922730	57.6
2906857	2924058	51.6
2926301	2930501	66.8
2930501	2933000	64.9
2930501	2900702	120.0
2900702	2905701	76.9
2911253	2906873	35.0
2911253	2922730	18.2
2911253	2933000	37.9
